driverId,name,ssn,location,certified,wage-plan
10,Julie Golden,716-51-4033,"2885 Vanessa Islands
New Virginiaburgh, ND 54151",Y,miles
11,Kim Scott,674-87-0228,"8365 Wood River
New Lisa, ME 19913",Y,hours
12,Mary Martin,497-78-5133,"PSC 4979, Box 5277
APO AE 73043",Y,hours
13,Terri Martin,504-97-1049,"33640 Christopher Club
Farmerberg, FM 89504",Y,miles
14,Melanie Oliver,566-67-2859,"62254 Lisa Trail
East Jennifer, VT 81874",N,hours
15,Rachel Powell,390-08-1732,"7650 Grace Mountains Suite 722
Greenland, IL 31279",Y,miles
16,Timothy Elliott,119-57-8835,"8485 Harris Bridge
East Christine, VT 91347",N,miles
17,Michelle Stevens MD,711-81-2896,"634 Daniels Meadows Apt. 390
East Johnnyland, NE 98229",N,hours
18,Thomas Mckinney,148-40-7290,"8500 John Ferry
South Kathleenfurt, NE 54805",N,miles
19,Jeffrey Brennan,828-81-8710,"Unit 8327 Box 5298
DPO AP 69721",N,miles
20,Christy Waters,430-72-3703,"110 Hartman Glens Apt. 790
Beckystad, VA 14831",Y,hours
21,Doris Choi,101-19-5076,"6373 Roberts Tunnel Suite 633
Arnoldport, MH 10304",Y,miles
22,Meghan Roth,020-35-3392,"USNV Kelly
FPO AE 68615",N,hours
23,Mr. Jeffrey Bell,333-46-5629,"Unit 2496 Box 1803
DPO AP 56013",N,miles
24,Michael Travis,385-81-1777,"31261 Raymond Streets
West Tinaberg, TN 61048",N,miles
25,Andrew Watkins,827-55-9565,"17776 Amber Glen Suite 215
Heathertown, AZ 97333",Y,hours
26,Mrs. Mary Morgan,153-12-6753,"USCGC Wilcox
FPO AE 49323",Y,miles
27,Ryan Roberson,774-89-1140,"Unit 8228 Box 4363
DPO AA 10383",N,miles
28,Erik Calhoun,723-22-7457,"9014 Schroeder Parkway Apt. 378
Woodwardchester, AR 33346",Y,hours
29,Susan Young,334-32-8617,"339 Brittany Junction Apt. 515
North Maryland, NV 26841",Y,hours
30,Victor Taylor,278-60-0413,"47024 Porter Underpass Apt. 528
Mollymouth, AL 57047",Y,miles
31,Emily Underwood,522-42-2347,"412 Crystal Crest Suite 169
West Jeffreyfurt, MT 55045",N,hours
32,Chris Quinn,756-60-1471,"860 Paul Groves Apt. 357
Julieton, VI 46581",Y,miles
33,Julie Mclean,621-98-4350,"84596 Emily Shore Suite 077
Millerhaven, IL 04972",N,hours
34,Jimmy Campbell,562-57-9215,"USNS Weber
FPO AA 09389",Y,hours
35,Dominique Mcpherson,002-63-2730,"33029 Curry Island
New Jamesview, AK 22069",Y,hours
36,Nathan English,185-02-9566,"5294 Anthony Via
Markview, MI 73809",Y,hours
37,Jennifer Reyes,461-52-7009,"388 Hensley Run
West Josephfort, WA 15883",N,miles
38,Miguel Kane,762-66-6852,"33761 Susan Locks
Johnsonfort, MP 45304",Y,miles
39,Nathan Smith,629-28-9135,"518 Raymond Extension Apt. 211
Danielborough, GU 05945",N,hours
